IPO_Name,Listing_Gain_Pct,Current_Gain_Pct,Predicted_Gain,Prob_Positive,Invest_Flag,Hold_Better_Than_Flip,Flip_Hold_Strategy,IPO_Quality_Score,Score_Category,Dominant_Investor
Indian Energy Exchange Ltd,-9.09,-91.65,-4.8279363105613555,0.1575,0,0,Flip,0.1370967517459848,Weak,RII_Dominant
General Insurance Corporation of India Ltd,-6.8,-56.56,-4.833292546396489,0.0871,0,0,Flip,0.11523271979458599,Weak,QIB_Dominant
Nippon Life India Asset Management Ltd,16.67,219.84,35.374586199814175,0.9956,1,1,Hold,0.34339358300183015,Strong,HNI_Dominant
Mahindra Logistics Ltd,0.7,-23.89,-0.20323570492576806,0.5556,0,0,Flip,0.17359525682627705,Weak,QIB_Dominant
New India Assurance Company Ltd,-6.39,-76.58,-5.000184764696976,0.1399,0,0,Flip,0.12943003430530464,Weak,QIB_Dominant
Khadim India Ltd,-3.07,-65.1,-4.932465290897245,0.1035,0,0,Flip,0.13683130206503588,Weak,QIB_Dominant
HDFC Life Insurance Company Ltd,7.24,162.57,9.172830985699362,0.8251,0,1,Hold,0.20182557062078266,Moderate,QIB_Dominant
Shalby Ltd,-4.44,-17.68,-3.0567606624836,0.14,0,0,Flip,0.1519012510730996,Weak,QIB_Dominant
Future Supply Chain Solutions Ltd,1.51,-99.64,1.5429843845282736,0.5785,0,0,Flip,0.2265056745213972,Moderate,QIB_Dominant
Astron Paper & Board Mill Ltd,128.0,-70.5,103.38702835344984,0.9899,1,0,Flip,0.4765579439529194,Strong,HNI_Dominant
Apollo Micro Systems Ltd,73.82,-32.62,88.69220945240632,0.9919,1,0,Flip,0.5798649302419884,Strong,HNI_Dominant
Newgen Software Technologies Ltd,3.27,254.45,0.5626858168847458,0.5397,0,1,Hold,0.20156713691594566,Moderate,QIB_Dominant
Amber Enterprises India Ltd,37.37,698.04,59.17771402344374,0.9941,1,1,Hold,0.46054110403491616,Strong,HNI_Dominant
Galaxy Surfactants Ltd,2.7,61.15,10.57633548935283,0.8693,1,1,Hold,0.21904393794049473,Moderate,QIB_Dominant
Aster DM Healthcare Ltd,-4.16,210.18,-3.5736066661005332,0.0931,0,1,Hold,0.15763600342703438,Weak,QIB_Dominant
H.G. Infra Engineering Ltd,0.0,268.52,0.9589470239338391,0.1999,0,1,Hold,0.2054387442211208,Moderate,QIB_Dominant
Bharat Dynamics Ltd,-15.89,244.86,-6.180701340702322,0.0809,0,1,Hold,0.1389125698560267,Weak,QIB_Dominant
Bandhan Bank Ltd,29.33,-55.41,18.1412643539664,0.8281,1,0,Flip,0.21974735511597876,Moderate,QIB_Dominant
Hindustan Aeronautics Ltd (HAL),-3.79,256.79,-5.086480186880451,0.1313,0,1,Hold,0.1273500539306542,Weak,QIB_Dominant
Sandhar Technologies Ltd,3.92,27.21,2.516044429634956,0.6483,0,1,Hold,0.23349958894189968,Moderate,QIB_Dominant
Dharan Infra EPC Ltd,-24.44,-99.74,-4.692313048649037,0.2229,0,0,Flip,0.20607240473430233,Moderate,HNI_Dominant
Mishra Dhatu Nigam Ltd (MIDHANI),-3.33,333.22,-1.2647182921264823,0.2104,0,1,Hold,0.15696073462491186,Weak,QIB_Dominant
ICICI Securities Ltd,-17.1,72.25,-5.753362232558147,0.2003,0,1,Hold,0.1295877863876453,Weak,QIB_Dominant
Lemon Tree Hotels Ltd,10.0,159.82,2.2533787227285282,0.503,0,1,Hold,0.2066720532712666,Moderate,QIB_Dominant
Indostar Capital Finance Ltd,4.9,-51.89,5.1755231913302175,0.7726,0,0,Flip,0.21618407412153307,Moderate,QIB_Dominant
Rites Ltd,2.7,35.86,30.187685530613344,0.9873,1,1,Hold,0.34598840321854274,Strong,HNI_Dominant
Fine Organic Industries Ltd,4.09,517.93,5.832475751667588,0.5928,0,1,Hold,0.2660022802969876,Moderate,HNI_Dominant
Varroc Engineering Ltd,6.72,-46.23,5.785413250715069,0.6425,0,0,Flip,0.20188452990441333,Moderate,QIB_Dominant
TCNS Clothing Co. Ltd,-0.14,-18.45,2.811557575482555,0.3752,0,0,Flip,0.2265083529810803,Moderate,QIB_Dominant
HDFC Asset Management Company Ltd,58.09,399.13,63.979996656685415,0.9977,1,1,Hold,0.3562913182130437,Strong,HNI_Dominant
CreditAccess Grameen Ltd,-8.77,203.55,-2.1203110563943564,0.1319,0,1,Hold,0.193040938819356,Weak,QIB_Dominant
Ircon International Ltd,-13.62,-64.79,-1.6449192714734913,0.2114,0,0,Flip,0.16734756468636283,Weak,QIB_Dominant
AAVAS Financiers Ltd,-7.67,108.69,-4.637398514538859,0.0807,0,1,Hold,0.1921973544344887,Weak,QIB_Dominant
Garden Reach Shipbuilders & Engineers Ltd,-11.86,2031.99,-4.127484410929444,0.1357,0,1,Hold,0.1781124505753881,Weak,QIB_Dominant
Xelpmoc Design and Technologies Ltd,-15.15,38.98,-3.9912737038805246,0.3184,0,1,Hold,0.26458626590677903,Moderate,HNI_Dominant
Chalet Hotels Ltd,3.93,214.0,3.136795547028013,0.3955,0,1,Hold,0.21984275374608686,Moderate,QIB_Dominant
MSTC Ltd,-7.5,292.42,2.6614191932592286,0.5453,0,1,Hold,0.2166891998133157,Moderate,RII_Dominant
Embassy Office Parks REIT,0.0,28.33,-1.789207358549905,0.2301,0,1,Hold,0.1551367299591041,Weak,HNI_Dominant
Rail Vikas Nigam Ltd,0.0,1713.42,0.14296260431103697,0.4975,0,1,Hold,0.13301450184725963,Weak,RII_Dominant
Metropolis Healthcare Ltd,9.09,134.18,4.640373271849538,0.5666,0,1,Hold,0.16583163865566286,Weak,QIB_Dominant
Polycab India Ltd,17.66,1135.88,28.157024060715134,0.9947,1,1,Hold,0.30341402799317596,Strong,HNI_Dominant
Neogen Chemicals Ltd,16.74,560.47,14.376269518439658,0.7971,1,1,Hold,0.3165810366304277,Strong,HNI_Dominant
Indiamart Intermesh Ltd,21.27,164.54,10.355716906560783,0.7155,1,1,Hold,0.20883751201738343,Moderate,HNI_Dominant
Affle (India) Ltd,24.82,165.14,25.073036567786325,0.9765,1,1,Hold,0.32347360699593497,Strong,HNI_Dominant
Spandana Sphoorty Financial Ltd,-3.74,-71.0,-2.507192925742466,0.1617,0,0,Flip,0.21445970106508355,Moderate,QIB_Dominant
Sterling and Wilson Solar Ltd,-10.26,-63.85,-4.369884724111619,0.1459,0,0,Flip,0.16287268679012784,Weak,QIB_Dominant
Indian Railway Catering and Tourism Corporation Ltd,101.25,127.08,68.91287827410912,1.0,1,1,Hold,0.4001068223118867,Strong,HNI_Dominant
Vishwaraj Sugar Industries Ltd,2.0,-85.17,0.4194954920809947,0.5212,0,0,Flip,0.2304838967857036,Moderate,HNI_Dominant
CSB Bank Ltd,41.03,111.69,40.14105564723755,0.9887,1,1,Hold,0.3054164746554467,Strong,HNI_Dominant
Ujjivan Small Finance Bank Ltd,56.76,16.95,72.17684545765012,0.9936,1,0,Flip,0.4282623903621873,Strong,HNI_Dominant
Prince Pipes and Fittings Ltd,-10.11,63.68,-3.4728212498258713,0.1181,0,1,Hold,0.17467249011518626,Weak,QIB_Dominant
SBI Cards & Payment Services Ltd,-12.85,5.68,7.158802270839337,0.4359,0,1,Hold,0.24000653783844617,Moderate,QIB_Dominant
Rossari Biotech Ltd,57.65,49.66,32.559695810499264,1.0,1,0,Flip,0.36563383726059756,Strong,HNI_Dominant
Yes Bank Ltd,2.5,56.58,-0.8360290608995737,0.5611,0,1,Hold,0.14995013548263245,Weak,QIB_Dominant
Mindspace Business Parks REIT,10.55,50.93,3.987589265871332,0.4749,0,1,Hold,0.1715671161421607,Weak,QIB_Dominant
Happiest Minds Technologies Ltd,111.45,250.18,79.09603552064115,0.9981,1,1,Hold,0.3807766623891579,Strong,HNI_Dominant
Route Mobile Ltd,102.29,149.96,32.07967140354448,1.0,1,1,Hold,0.34203244256775606,Strong,HNI_Dominant
Chemcon Speciality Chemicals Ltd,114.99,-31.78,75.4751034153028,1.0,1,0,Flip,0.4336400357415588,Strong,HNI_Dominant
Computer Age Management Services Ltd,23.41,208.44,32.85155292201595,0.9815,1,1,Hold,0.29519672955227144,Strong,HNI_Dominant
Angel One Ltd,-10.13,726.0,-4.980936181193925,0.138,0,1,Hold,0.1500155891338873,Weak,QIB_Dominant
Mazagon Dock Shipbuilders Ltd,49.14,1760.9,69.83108869613642,0.9813,1,1,Hold,0.4947857259026691,Strong,HNI_Dominant
UTI Asset Management Company Ltd,-11.51,140.27,-6.535566278206028,0.106,0,1,Hold,0.14026621914735976,Weak,QIB_Dominant
Likhitha Infrastructure Ltd,8.42,111.33,7.470579564386271,0.5868,0,1,Hold,0.2047548349117,Moderate,RII_Dominant
Equitas Small Finance Bank Ltd,-6.06,66.67,-1.767494717875995,0.4318,0,1,Hold,0.1652390963600729,Weak,QIB_Dominant
Gland Pharma Ltd,13.4,28.68,4.750093691547726,0.4384,0,1,Hold,0.18295697701063698,Weak,QIB_Dominant
