IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
Sastasundar Ventures Ltd,2010-10-05,147.5,5.91,35.88,11.04,12.2,118,14.49,1,0,144.07,0,"Retail-Driven
Weak Demand"
CP Capital Ltd,2010-10-06,115.0,47.45,101.93,31.74,47.39,310,48.71,1,1,-47.52,2,"Blockbuster
Demand Stars"
Eros International Media Ltd,2010-10-06,350.0,25.79,73.4,11.95,26.51,175,21.91,1,1,-95.49,2,"Blockbuster
Demand Stars"
ESL Steel Ltd,2010-10-08,248.07,5.86,28.58,6.19,8.23,11,12.27,1,0,182.27,0,"Retail-Driven
Weak Demand"
Ramky Infrastructure Ltd,2010-10-08,530.0,4.52,1.45,0.99,2.89,450,0.0,0,0,23.56,1,"Institutional
Heavyweights"
Orient Green Power Company Ltd,2010-10-08,900.0,2.09,0.64,0.18,1.07,47,-2.77,0,0,-71.81,1,"Institutional
Heavyweights"
Cantabil Retail India Ltd,2010-10-12,105.0,1.71,3.83,2.63,2.35,135,-0.89,0,0,83.85,0,"Retail-Driven
Weak Demand"
Tecpro Systems Ltd,2010-10-12,267.91,27.99,62.48,9.07,24.47,355,12.51,1,0,-98.72,2,"Blockbuster
Demand Stars"
Va Tech Wabag Ltd,2010-10-13,472.59,36.13,100.98,8.55,36.22,1310,26.34,1,1,16.18,2,"Blockbuster
Demand Stars"
Bedmutha Industries Ltd,2010-10-14,91.8,0.67,29.19,8.51,7.69,102,12.16,1,0,37.45,0,"Retail-Driven
Weak Demand"
Sea TV Network Ltd,2010-10-14,50.2,1.66,40.94,7.45,9.58,100,20.0,1,1,-95.06,0,"Retail-Driven
Weak Demand"
Ashoka Buildcon Ltd,2010-10-14,225.0,25.52,13.91,3.46,15.94,324,2.95,1,0,-42.84,1,"Institutional
Heavyweights"
Jupiter Wagons Ltd,2010-10-18,172.41,3.68,0.34,0.38,2.07,127,-3.31,0,0,159.21,1,"Institutional
Heavyweights"
Oberoi Realty Ltd,2010-10-20,1028.61,22.15,3.61,0.94,12.13,260,7.69,1,0,518.23,1,"Institutional
Heavyweights"
BS Ltd,2010-10-27,190.45,0.52,3.16,1.04,1.1,248,1.21,1,0,-99.87,0,"Retail-Driven
Weak Demand"
Prestige Estates Projects Ltd,2010-10-27,1200.0,4.32,0.24,0.08,2.26,183,3.83,1,0,790.25,1,"Institutional
Heavyweights"
Shah Metacorp Ltd,2010-10-27,54.67,1.54,33.44,8.0,8.59,71,7.89,1,0,-94.97,0,"Retail-Driven
Weak Demand"
Coal India Ltd,2010-11-04,15199.4,24.7,25.4,2.31,15.28,245,17.45,1,1,57.14,1,"Institutional
Heavyweights"
Gravita India Ltd,2010-11-16,45.0,6.04,182.52,37.34,42.88,125,75.0,1,1,1326.92,2,"Blockbuster
Demand Stars"
Power Grid Corporation of India Ltd,2010-11-25,7442.34,115.9,40.34,6.77,64.82,90,5.56,1,0,217.5,1,"Institutional
Heavyweights"
RPP Infra Projects Ltd,2010-12-06,48.75,0.16,7.27,5.6,2.97,75,0.0,0,0,55.07,0,"Retail-Driven
Weak Demand"
MOIL Ltd,2010-12-15,1237.51,49.16,143.3,32.86,56.43,375,46.93,1,1,-14.19,2,"Blockbuster
Demand Stars"
Shipping Corporation of India Ltd,2010-12-15,1164.73,4.19,3.67,6.56,4.92,140,-2.21,0,0,47.54,1,"Institutional
Heavyweights"
Claris Lifescience Ltd,2010-12-20,300.0,1.31,2.03,1.6,1.5,228,-1.58,0,0,73.93,0,"Retail-Driven
Weak Demand"
A2Z Infra Engineering Ltd,2010-12-23,776.25,0.68,3.12,0.33,0.96,400,-2.5,0,0,-95.02,0,"Retail-Driven
Weak Demand"
Ravikumar Distilleries Ltd,2010-12-27,73.6,0.15,7.31,3.01,2.22,64,0.0,0,0,-55.36,0,"Retail-Driven
Weak Demand"
Punjab & Sind Bank,2010-12-30,480.0,49.8,85.84,44.45,50.75,120,21.75,1,1,-76.53,2,"Blockbuster
Demand Stars"
C Mahendra Exports Ltd,2011-01-20,165.0,1.02,3.92,4.82,2.78,110,0.91,1,0,-98.37,0,"Retail-Driven
Weak Demand"
Midvalley Entertainment & Hospitality Ltd,2011-01-27,60.0,0.35,4.68,9.01,4.03,70,4.29,1,0,-99.5,0,"Retail-Driven
Weak Demand"
Tata Steel Ltd,2011-02-02,3477.0,10.41,7.21,1.6,6.03,610,3.3,1,0,-73.68,1,"Institutional
Heavyweights"
Omkar Speciality Chemicals Ltd,2011-02-10,79.38,0.82,5.27,9.9,4.67,98,-3.06,0,0,-92.11,0,"Retail-Driven
Weak Demand"
AcroPetal Technologies Ltd,2011-03-10,170.0,1.12,2.0,1.21,1.28,90,44.44,1,1,-98.14,0,"Retail-Driven
Weak Demand"
Sudar Industries Ltd,2011-03-11,69.98,0.17,4.47,2.28,1.55,77,-3.9,0,0,-98.68,0,"Retail-Driven
Weak Demand"
Fineotex Chemical Ltd,2011-03-11,29.48,0.0,0.22,4.38,1.57,70,14.29,1,0,232.14,0,"Retail-Driven
Weak Demand"
Lovable Lingerie Ltd,2011-03-24,93.28,21.87,99.87,20.84,35.21,205,27.56,1,1,-55.17,2,"Blockbuster
Demand Stars"
PTC India Financial Services Ltd,2011-03-30,433.28,2.85,0.22,1.18,1.7,28,0.0,0,0,39.11,1,"Institutional
Heavyweights"
Shilpi Cable Technologies Ltd,2011-04-08,55.88,1.04,6.39,5.74,3.48,69,13.55,1,0,-98.41,0,"Retail-Driven
Weak Demand"
Muthoot Finance Ltd,2011-05-06,901.25,25.01,60.94,8.5,24.55,175,2.86,1,0,1356.29,2,"Blockbuster
Demand Stars"
