IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,IPO_Quality_Score,Score_Category,Positive_Listing,Strong_Listing
Quadrant Future Tek Limited,290.0,132.54,254.71,246.94,186.66,290,28.97,0.38452785967489356,Strong,1,1
Motisons Jewellers Limited,151.09,157.4,233.91,122.28,159.61,55,88.91,0.38401761315725924,Strong,1,1
Restaurant Brands Asia Ltd,810.0,86.64,354.11,68.15,156.65,60,92.25,0.38326689909027134,Strong,1,1
BLS E-Services Limited,309.29,123.3,300.14,237.0,162.47,135,128.89,0.3817623439980793,Strong,1,1
Gravita India Ltd,45.0,6.04,182.52,37.34,42.88,125,75.0,0.3808534938892964,Strong,1,1
Happiest Minds Technologies Ltd,702.02,77.43,351.46,70.94,150.98,166,111.45,0.3807766623891579,Strong,1,1
Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108,112.96,0.38072126516421284,Strong,1,1
Data Patterns (India) Limited,588.22,190.86,254.22,23.14,119.62,585,47.69,0.3803378585952344,Strong,1,1
GNA Axles Ltd,130.41,17.18,217.47,11.84,54.88,207,20.05,0.37608776963996227,Strong,1,1
Cochin Shipyard Ltd,1442.01,63.52,288.87,8.51,76.19,432,0.69,0.3759131516510771,Strong,1,0
Indigo Paints Limited,1169.12,189.57,263.05,15.93,117.02,1490,75.0,0.3751370376497459,Strong,1,1
Vraj Iron & Steel Limited,171.0,163.9,208.81,54.93,119.04,207,15.94,0.3691494195968776,Strong,1,1
Wonderla Holidays Ltd,181.25,16.71,159.04,7.55,38.06,125,31.8,0.3685218290367557,Strong,1,1
Heranba Industries Limited,625.24,67.45,271.15,11.84,83.29,627,43.54,0.36818153543645177,Strong,1,1
VRL Logistics Ltd,467.88,58.22,250.86,7.92,74.26,205,40.49,0.36794958610857004,Strong,1,1
Emmbi Industries Limited,38.96,0.43,5.55,0.46,1.2,45,1.11,0.3678229246461233,Strong,1,0
Avenue Supermarts Ltd (DMart),1870.0,144.62,277.74,7.51,104.59,299,102.14,0.36714415543621826,Strong,1,1
Rossari Biotech Ltd,496.25,85.26,239.83,7.23,79.37,425,57.65,0.36563383726059756,Strong,1,1
Shree Tirupati Balajee Agro Trading Company Limited,169.65,150.87,210.12,73.22,124.75,83,11.93,0.36502773131168903,Strong,1,0
Laxmi Organic Industries Limited,600.0,175.43,217.62,20.06,106.79,130,20.15,0.36376047876129924,Strong,1,1
Godrej Agrovet Ltd,1157.31,150.96,236.04,7.67,95.41,460,35.0,0.3622361116093516,Strong,1,1
Prostarm Info Systems Limited,168.0,104.49,222.14,39.49,97.2,105,19.05,0.36162501690683785,Strong,1,1
Borana Weaves Limited,144.89,87.21,237.42,200.53,148.78,216,12.5,0.36035695089676284,Strong,1,0
Thyrocare Technologies Ltd,479.21,73.18,225.3,8.73,73.55,446,48.43,0.3588795185894166,Strong,1,1
Rainbow Children’s Medicare Limited,1580.85,38.9,1.37,0.7,5.25,542,-6.64,0.3588582775935184,Strong,0,0
Snowman Logistics Ltd,197.4,16.98,221.79,41.26,59.75,47,59.57,0.358300476514486,Strong,1,1
HDFC Asset Management Company Ltd,2800.33,192.26,195.15,6.73,83.06,1100,58.09,0.3562913182130437,Strong,1,1
Nova Agritech Limited,143.81,79.31,224.08,77.12,109.37,41,36.59,0.35050707721366053,Strong,1,1
Go Fashion (India) Limited,1013.61,100.73,262.08,49.7,135.46,690,90.72,0.3488164967300222,Strong,1,1
SRM Contractors Ltd ,130.2,59.59,214.94,46.97,86.57,210,7.14,0.34862733057220396,Strong,1,0
S Chand & Company Ltd,728.6,44.27,204.65,6.07,59.49,670,5.52,0.347490132468991,Strong,1,0
Diffusion Engineers Limited,157.96,95.74,207.6,85.61,114.49,168,11.9,0.3467833991902546,Strong,1,0
Sea TV Network Ltd,50.2,1.66,40.94,7.45,9.58,100,20.0,0.34637208290848764,Strong,1,1
Rites Ltd,460.51,71.72,194.56,15.74,67.24,185,2.7,0.34598840321854274,Strong,1,0
Northern ARC Capital Limited,777.0,240.79,142.41,31.08,110.91,263,33.46,0.3457343883062732,Strong,1,1
Gujarat Pipavav Port Limited,553.85,13.2,85.7,9.15,19.94,46,22.28,0.34482006360404405,Strong,1,1
Future Consumer Ltd,750.0,0.26,7.81,0.61,1.52,10,-5.0,0.344799201585472,Strong,0,0
Nippon Life India Asset Management Ltd,1542.24,118.4,209.44,5.65,81.54,252,16.67,0.34339358300183015,Strong,1,1
Route Mobile Ltd,600.0,89.76,192.81,12.67,73.3,350,102.29,0.34203244256775606,Strong,1,1
Power Mech Projects Ltd,273.22,27.53,133.22,3.42,38.12,640,-6.25,0.34042759188435734,Strong,0,0
RBL Bank Ltd,1212.97,85.08,198.06,5.7,69.62,225,21.64,0.3392274113385563,Strong,1,1
Mahanagar Gas Ltd,1038.88,72.84,191.61,6.82,64.54,421,28.27,0.3385061993085594,Strong,1,1
Arkade Developers Limited,410.0,163.16,163.02,51.39,106.83,128,37.42,0.3377621811885926,Strong,1,1
Tarsons Products,1023.47,115.77,184.58,10.56,77.49,662,5.74,0.33670239657400025,Strong,1,0
Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900,43.47,0.3365999270235553,Strong,1,1
Aeroflex Industries Limited,351.0,194.73,126.13,34.41,97.11,108,82.78,0.33642188635030557,Strong,1,1
Texmo Pipes and Products Limited,45.0,1.02,30.5,7.26,7.48,90,12.78,0.33319268818323794,Strong,1,0
Platinum Industries Ltd ,235.32,151.0,141.83,50.99,99.03,171,33.33,0.33230651768275477,Strong,1,1
Enviro Infra Engineers Limited,650.3,157.05,153.8,24.48,89.9,148,47.3,0.3315733159548254,Strong,1,1
Delhivery Limited,5235.0,2.66,0.27,0.31,0.39,487,1.23,0.33135577861510684,Strong,1,0
Sigachi Industries Limited,125.43,86.51,172.43,80.49,101.91,163,252.76,0.3307334189545835,Strong,1,1
G R Infraprojects Limited,962.33,75.4,165.03,7.69,59.1,837,103.11,0.3301657226404928,Strong,1,1
ARSS Infrastructure Projects Limited,103.0,49.34,124.53,18.55,47.62,450,42.22,0.3301439564736339,Strong,1,1
Technofab Engineers Limited,71.66,4.28,48.85,10.03,12.78,240,10.42,0.32854366402596186,Strong,1,0
SRS Ltd,203.0,0.75,5.11,0.32,1.25,58,-5.17,0.3282443296349627,Strong,0,0
Ratnaveer Precision Limited,165.03,133.05,135.21,54.01,93.99,98,30.61,0.3278584337057656,Strong,1,1
Shanti Gold International Ltd,360.11,117.33,151.48,30.37,81.17,199,15.13,0.326634136166333,Strong,1,1
Aether Industries,808.04,17.57,1.33,0.59,2.91,642,9.99,0.32635932881095464,Strong,1,0
Acutaas Chemicals Limited,569.64,86.64,154.81,13.36,64.54,610,47.87,0.32597575454637767,Strong,1,1
Globe Civil Projects Limited,119.0,99.76,143.15,53.72,86.04,71,28.31,0.325430284881565,Strong,1,1
